Voter ID,Last Name,Suffix,First Name,Middle Name,Street Number,Address Suffix,House Fraction Number,Street Name,Apartment / Unit Number,Address Line 2,Address Line 3,Postal City / Town,State,Postal Zip 5,Zip +4,Mailing Street Number,Mailing Suffix,Mailing House Fraction Number,Mailing Street Name,Mailing Apartment / Unit Number,Mailing Address Line 2,Mailing Address Line 3,Mailing City / Town,Mailing State,Mailing Zip 5,Mailing Zip +4,Party,District
1,WILLIAMS,,MATTHEW,BENJAMIN,12,,,MEADOW LANE,,,,LEBANON,NH,03766,,,,,,,,,,,,,UND,0
2,SULLIVAN,,PARVATI,LAUREL,45,,,STONEWALL RD,,,,PORTSMOUTH,NH,03801,,,,,,,,,,,,,UND,0
3,SCOTT,,KIM,CHRISSY,59,,,WATERFRONT DR,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,0
4,LEWIS,,HARPER,GRACE,39,,,HERITAGE LN,,,,SALEM,NH,03079,,,,,,,,,,,,,UND,0
5,SULLIVAN,,JULIAN,PARVATI,32,,,RIVER ROAD,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,0
6,LOPEZ,,AURORA,ELLA,21,,,RIDGE ROAD,,,,LACONIA,NH,03246,,,,,,,,,,,,,UND,0
7,GARCIA,,HARPER,DENISE,14,,,CHERRY LANE,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,0
8,BENNETT,,ETHAN,SCARLETT,25,,,HIGH ST,,,,NASHUA,NH,03060,,,,,,,,,,,,,UND,0
9,MOORE,,LUNA,JOHN,9,,,SYCAMORE AVE,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,0
10,MORGAN,,NATALIE,KIM,9,,,EVERGREEN TERRACE,,,,HUDSON,NH,03051,,,,,,,,,,,,,UND,0
11,WHITE,,EMILY,MADISON,14,,,SIERRA RD,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,0
12,BROWN,,CIRIE,SCARLETT,8,,,SYCAMORE AVE,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,0
13,WILLIAMS,,OLIVER,JAMES,30,,,CRYSTAL WAY,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,0
14,ROBINSON,,AMELIA,LEAH,20,,,FOREST DRIVE,,,,ENFIELD,NH,03441,,,,,,,,,,,,,UND,0
15,CARTER,,JANE,JACK,9,,,MAIN ST,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,0
16,ADAMS,,JULIAN,KIM,22,,,OAK ST,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,0
17,HALL,,BENJAMIN,KRISTEN,16,,,PINECONE LN,,,,SALEM,NH,03079,,,,,,,,,,,,,UND,0
18,BENNETT,,JULIAN,AURORA,27,,,CEDAR ST,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,0
19,JACKSON,,ELISE,LUCAS,34,,,WILLOW ST,,,,PORTSMOUTH,NH,03801,,,,,,,,,,,,,UND,0
20,RICE,,LAUREL,STELLA,15,,,HILLCREST DRIVE,,,,LEBANON,NH,03766,,,,,,,,,,,,,UND,0
21,LONG,,SAMUEL,ABIGAIL,16,,,CRYSTAL WAY,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,0
22,CAMPBELL,,CHARLOTTE,RILEY,22,,,RIDGE ROAD,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,0
23,LEE,,EVELYN,CHASE,14,,,MAIN ST,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,0
24,NELSON,,ROBERT,LUCY,27,,,GRANITE ST,,,,PORTSMOUTH,NH,03801,,,,,,,,,,,,,UND,0
25,WILLIAMS,,MICHAEL,AUBRY,4,,,SYCAMORE AVE,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,0
26,SCOTT,,VICTORIA,OLIVER,25,,,CEDAR ST,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,0
27,WILLIAMS,,GRACE,CHLOE,26,,,RIDGE ROAD,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,0
28,EDWARDS,,JAMES,AUBRY,28,,,HIGH ST,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,0
29,PERRY,,LAUREL,CAROLINE,16,,,CEDAR ST,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,0
30,SULLIVAN,,OLIVIA,SOPHIE,37,,,BROADWAY,,,,SALEM,NH,03079,,,,,,,,,,,,,UND,0
31,CAMPBELL,,SOPHIA,ISAAC,31,,,BIRCH ST,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,0
32,JACKSON,,ADAM,DOMENICK,4,,,VICTORY AVE,,,,LACONIA,NH,03246,,,,,,,,,,,,,UND,0
33,LONG,,GRACE,WENDELL,41,,,GRANITE ST,,,,PORTSMOUTH,NH,03801,,,,,,,,,,,,,UND,0
34,WILSON,,ZACHARY,JORDAN,40,,,HIGH ST,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,0
35,KING,,LAUREL,EMILY,19,,,SPRUCE ST,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,0
36,MORGAN,,LUCAS,MICHELE,17,,,BAYSHORE BLVD,,,,HOOKSETT,NH,03106,,,,,,,,,,,,,UND,0
37,LONG,,KRISTEN,JOHN,41,,,PARK LANE,,,,LACONIA,NH,03246,,,,,,,,,,,,,UND,0
38,HERNANDEZ,,ABIGAIL,MADISON,13,,,BROADWAY,,,,SALEM,NH,03079,,,,,,,,,,,,,UND,0
39,GARCIA,,AUBRY,AIDEN,19,,,RIVER ROAD,,,,NASHUA,NH,03060,,,,,,,,,,,,,UND,0
40,GARCIA,,VICTORIA,CIRIE,47,,,CHERRY LANE,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,0
41,GONZALEZ,,HARRISON,JAMES,28,,,MAGNOLIA BLVD,,,,NASHUA,NH,03060,,,,,,,,,,,,,UND,0
42,HARRIS,,NATALIE,AMANDA,23,,,MAPLE AVE,,,,BERLIN,NH,03570,,,,,,,,,,,,,UND,0
43,WRIGHT,,PARVATI,TOMMY,25,,,BAYVIEW BLVD,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,0
44,PERRY,,CHARLOTTE,NICK,21,,,WATERFRONT DR,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,0
45,BAILEY,,LUCAS,GRACE,37,,,HIGH ST,,,,NASHUA,NH,03060,,,,,,,,,,,,,UND,0
46,SULLIVAN,,LIAM,JORDAN,24,,,PARK LANE,,,,BERLIN,NH,03570,,,,,,,,,,,,,UND,0
47,SANCHEZ,,MIA,MEGAN,23,,,MAPLE AVE,,,,BERLIN,NH,03570,,,,,,,,,,,,,UND,0
48,WILLIAMS,,SARAH,ADAM,33,,,CENTER AVE,,,,HUDSON,NH,03051,,,,,,,,,,,,,UND,0
49,REED,,JANE,AMANDA,12,,,PINECONE LN,,,,SALEM,NH,03079,,,,,,,,,,,,,UND,0
50,CARTER,,MEGAN,ZACHARY,22,,,PARK LANE,,,,BERLIN,NH,03570,,,,,,,,,,,,,UND,0
51,RICE,,ADAM,CAROLINE,51,,,ELM ST,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,0
52,ALLEN,,SCARLETT,LAUREL,19,,,REDWOOD DR,,,,HUDSON,NH,03051,,,,,,,,,,,,,UND,0
53,LONG,,ISAAC,WENDELL,37,,,BROADWAY,,,,SALEM,NH,03079,,,,,,,,,,,,,UND,0
54,PHILLIPS,,SARAH,MICHELE,47,,,BAYVIEW BLVD,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,0
55,HERNANDEZ,,ZACHARY,LUCY,29,,,ELMWOOD AVE,,,,PORTSMOUTH,NH,03801,,,,,,,,,,,,,UND,0
56,LOPEZ,,GRACE,TOMMY,13,,,RIDGE ROAD,,,,LACONIA,NH,03246,,,,,,,,,,,,,UND,0
57,TAYLOR,,ADAM,SARAH,37,,,GRANITE ST,,,,PORTSMOUTH,NH,03801,,,,,,,,,,,,,UND,0
58,BROOKS,,ADAM,ANDREW,14,,,SUNSET BLVD,,,,ENFIELD,NH,03441,,,,,,,,,,,,,UND,0
59,MARTINEZ,,JORDAN,MEGAN,17,,,PARK LANE,,,,LACONIA,NH,03246,,,,,,,,,,,,,UND,0
60,KING,,AUBRY,LUCY,26,,,CRYSTAL WAY,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,0
61,CLARK,,NATALIE,LIAM,29,,,BAYVIEW BLVD,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,0
62,ROBINSON,,LUNA,JEREMEY,24,,,HILLCREST DRIVE,,,,LEBANON,NH,03766,,,,,,,,,,,,,UND,0
63,LEE,,MATTHEW,LUCAS,18,,,CHERRY LANE,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,0
64,MORGAN,,CAROLINE,TAYLOR,21,,,MAPLE AVE,,,,BERLIN,NH,03570,,,,,,,,,,,,,UND,0
65,ADAMS,,ANDREW,CHASE,5,,,SUNRISE BLVD,,,,HOOKSETT,NH,03106,,,,,,,,,,,,,UND,0
66,BENNETT,,EMILY,HELENA,33,,,CEDAR ST,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,0
67,LEE,,EMILY,MARK,10,,,MAIN ST,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,0
68,PARKER,,PARVATI,JORDAN,23,,,BAYVIEW BLVD,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,0
69,NGUYEN,,CHRIS,EMILY,8,,,MAGNOLIA BLVD,,,,NASHUA,NH,03060,,,,,,,,,,,,,UND,0
70,ORTIZ,,CAROLINE,ELISE,8,,,MAGNOLIA BLVD,,,,NASHUA,NH,03060,,,,,,,,,,,,,UND,0
71,MILLER,,LUCAS,CHLOE,49,,,PARK LANE,,,,LACONIA,NH,03246,,,,,,,,,,,,,UND,0
72,MORGAN,,JOHN,ANDREW,31,,,HERITAGE LN,,,,SALEM,NH,03079,,,,,,,,,,,,,UND,0
73,NELSON,,MASON,ZACHARY,17,,,MAIN ST,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,0
74,GREEN,,CHARLOTTE,HELENA,19,,,RIDGE ROAD,,,,LACONIA,NH,03246,,,,,,,,,,,,,UND,0
75,BROOKS,,EVELYN,SARAH,22,,,SPRUCE ST,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,0
76,NELSON,,CALEB,JOHN,31,,,RIDGE ROAD,,,,LACONIA,NH,03246,,,,,,,,,,,,,UND,0
77,FLORES,,CHRISSY,MICHELE,50,,,RIVER ROAD,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,0
78,HARRIS,,MIA,CONNOR,20,,,HILLCREST DRIVE,,,,LEBANON,NH,03766,,,,,,,,,,,,,UND,0
79,HERNANDEZ,,MICHELE,ELLA,7,,,MAIN ST,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,0
80,ROBERTS,,JESSICA,STELLA,14,,,SUNSET BLVD,,,,ENFIELD,NH,03441,,,,,,,,,,,,,UND,0
81,MORGAN,,ZACHARY,MIA,29,,,BROADWAY,,,,SALEM,NH,03079,,,,,,,,,,,,,UND,0
82,YOUNG,,ANDREW,ELISE,26,,,CHERRY LANE,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,0
83,BENNETT,,ZACHARY,MADISON,11,,,ELMWOOD AVE,,,,PORTSMOUTH,NH,03801,,,,,,,,,,,,,UND,0
84,GRAY,,AIDEN,SOPHIA,31,,,RIDGE ROAD,,,,LACONIA,NH,03246,,,,,,,,,,,,,UND,0
85,SANCHEZ,,SAMUEL,LOGAN,21,,,ELM ST,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,0
86,GRAY,,HARPER,HARRISON,43,,,GRANITE ST,,,,PORTSMOUTH,NH,03801,,,,,,,,,,,,,UND,0
87,NELSON,,GABRIEL,WENDELL,31,,,PARK LANE,,,,LACONIA,NH,03246,,,,,,,,,,,,,UND,0
88,JONES,,CONNOR,AVERY,44,,,FOREST DRIVE,,,,ENFIELD,NH,03441,,,,,,,,,,,,,UND,0
89,RODRIGUEZ,,LUCAS,LAURA,20,,,RIDGE ROAD,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,0
90,WALKER,,JESSICA,OLIVER,18,,,CRESCENT ST,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,0
91,ALLEN,,NATALIE,SCARLETT,19,,,CENTER AVE,,,,HUDSON,NH,03051,,,,,,,,,,,,,UND,0
92,RIVERA,,ADAM,DAVID,42,,,SPRUCE ST,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,0
93,MURPHY,,KRISTEN,LIAM,1,,,CRESCENT ST,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,0
94,LEWIS,,ELIJAH,JORDAN,20,,,CRYSTAL WAY,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,0
95,WHITE,,CHARLOTTE,JAMES,59,,,BAYVIEW BLVD,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,0
96,ROBINSON,,AIDEN,GABRIEL,28,,,CEDAR ST,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,0
97,MURPHY,,HELENA,HANNAH,30,,,SUNSET BLVD,,,,ENFIELD,NH,03441,,,,,,,,,,,,,UND,0
98,WHITE,,JULIAN,KIM,4,,,MAGNOLIA BLVD,,,,NASHUA,NH,03060,,,,,,,,,,,,,UND,0
99,PEREZ,,NATALIE,ASHLEY,24,,,VICTORY AVE,,,,LACONIA,NH,03246,,,,,,,,,,,,,UND,0
100,NELSON,,JESSICA,AURORA,45,,,BAYVIEW BLVD,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,0
101,MARTINEZ,,OWEN,OLIVIA,15,,,CENTER AVE,,,,HUDSON,NH,03051,,,,,,,,,,,,,UND,0
102,ADAMS,,CHRIS,BENJAMIN,27,,,HIGH ST,,,,NASHUA,NH,03060,,,,,,,,,,,,,UND,0
103,SCOTT,,AIDEN,MEGAN,14,,,CRESCENT ST,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,0
104,TORRES,,TOMMY,RILEY,16,,,SIERRA RD,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,0
105,GARCIA,,AMELIA,LAUREL,26,,,SUNSET BLVD,,,,ENFIELD,NH,03441,,,,,,,,,,,,,UND,0
106,GRAY,,CONNOR,CALEB,17,,,SIERRA RD,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,0
107,HILL,,LAUREL,ISABELLA,12,,,WALNUT ST,,,,LACONIA,NH,03246,,,,,,,,,,,,,UND,0
108,RICE,,SANDRA,VICTORIA,14,,,MEADOW LANE,,,,LEBANON,NH,03766,,,,,,,,,,,,,UND,0
109,WHITE,,KRISTEN,CHARLOTTE,17,,,ELMWOOD AVE,,,,PORTSMOUTH,NH,03801,,,,,,,,,,,,,UND,0
110,CARTER,,HELENA,RILEY,33,,,CEDAR ST,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,0
111,MARTIN,,TONY,MARK,19,,,WALNUT ST,,,,LACONIA,NH,03246,,,,,,,,,,,,,UND,0
112,SCOTT,,SOPHIE,HERMIONE,14,,,RIVER ROAD,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,0
113,PEREZ,,LOGAN,JEREMEY,17,,,BAYSHORE BLVD,,,,HOOKSETT,NH,03106,,,,,,,,,,,,,UND,0
