Voter ID,Last Name,Suffix,First Name,Middle Name,Street Number,Address Suffix,House Fraction Number,Street Name,Apartment / Unit Number,Address Line 2,Address Line 3,Postal City / Town,State,Postal Zip 5,Zip +4,Mailing Street Number,Mailing Suffix,Mailing House Fraction Number,Mailing Street Name,Mailing Apartment / Unit Number,Mailing Address Line 2,Mailing Address Line 3,Mailing City / Town,Mailing State,Mailing Zip 5,Mailing Zip +4,Party,Ward
1,JENKINS,,EVELYN,LAURA,7,,,CEDAR ST,,,,KEENE,NH,03431,,7,,,CEDAR ST,,,,KEENE,NH,03431,,UND,1
2,GONZALEZ,,LIAM,NOAH,37,,,SUNSET BLVD,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,4
3,MILLER,,HELENA,MASON,24,,,ELMWOOD AVE,,,,NASHUA,NH,03060,,,,,,,,,,,,,UND,5
4,NGUYEN,,SOPHIA,DAVID,32,,,HILLCREST DRIVE,,,,LEBANON,NH,03766,,,,,,,,,,,,,UND,5
5,LONG,,HERMIONE,JONAH,43,,,SUNSET BLVD,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,4
6,WHITE,,HANNAH,CALEB,19,,,WILLOW ST,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,1
7,EVANS,,HANNAH,ANDREW,33,,,BIRCH ST,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,1
8,COOPER,,HENRY,CONNOR,42,,,SUNRISE BLVD,,,,HUDSON,NH,03051,,,,,,,,,,,,,UND,2
9,MITCHELL,,ETHAN,GRACE,52,,,MAGNOLIA BLVD,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,5
10,GREEN,,MASON,ZACHARY,34,,,MAGNOLIA BLVD,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,5
11,WRIGHT,,MEGAN,MIA,8,,,STONEWALL RD,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,5
12,KING,,BENJAMIN,OLIVER,19,,,HILLCREST DRIVE,,,,PORTSMOUTH,NH,03801,,,,,,,,,,,,,UND,5
13,MORGAN,,NATALIE,SOPHIE,30,,,HERITAGE LN,,,,LACONIA,NH,03246,,,,,,,,,,,,,UND,2
14,MURPHY,,MIA,ADAM,13,,,BIRCH ST,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,1
15,CAMPBELL,,CHARLOTTE,NATALIE,17,,,PINE ST,,,,HOOKSETT,NH,03106,,,,,,,,,,,,,UND,3
16,EDWARDS,,CHRISSY,HENRY,40,,,RIDGE ROAD,,,,PORTSMOUTH,NH,03801,,,,,,,,,,,,,UND,1
17,BROWN,,AUBRY,SARAH,19,,,SIERRA RD,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,1
18,RAMIREZ,,MARK,CHLOE,4,,,CENTER AVE,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,5
19,JACKSON,,ISAAC,CAROLINE,36,,,ELM ST,,,,EPPING,NH,03042,,,,,,,,,,,,,UND,4
20,ANDERSON,,JOHN,SOPHIE,10,,,ELM ST,,,,EPPING,NH,03042,,,,,,,,,,,,,UND,4
21,BROWN,,CHLOE,MICHAEL,22,,,ELMWOOD AVE,,,,NASHUA,NH,03060,,,,,,,,,,,,,UND,5
22,COOPER,,LAUREL,CHARLOTTE,24,,,ELMWOOD AVE,,,,NASHUA,NH,03060,,,,,,,,,,,,,UND,5
23,ALLEN,,TOMMY,BENJAMIN,33,,,MAPLE AVE,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,1
24,ALLEN,,MASON,KRISTEN,13,,,WILLOW ST,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,1
25,GRAY,,JORDAN,MICHELE,5,,,CENTER AVE,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,5
26,WALKER,,CHRISSY,ISAAC,27,,,WATERFRONT DR,,,,SALEM,NH,03079,,,,,,,,,,,,,UND,5
27,WHITE,,OLIVIA,ANDREW,30,,,GARDEN PATH,,,,EPPING,NH,03042,,,,,,,,,,,,,UND,4
28,NGUYEN,,JESSICA,JORDAN,33,,,BROADWAY,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,1
29,ADAMS,,PARVATI,KIM,32,,,RIDGE ROAD,,,,PORTSMOUTH,NH,03801,,,,,,,,,,,,,UND,1
30,MARTIN,,AMANDA,JORDAN,38,,,CRYSTAL WAY,,,,ENFIELD,NH,03441,,,,,,,,,,,,,UND,4
31,RAMIREZ,,TOMMY,GABRIEL,34,,,WALNUT ST,,,,HOOKSETT,NH,03106,,,,,,,,,,,,,UND,2
32,HALL,,AURORA,GABRIEL,3,,,CENTER AVE,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,5
33,MITCHELL,,JEREMEY,SANDRA,37,,,OAK ST,,,,SALEM,NH,03079,,,,,,,,,,,,,UND,3
34,KING,,GRACE,AURORA,20,,,PARK LANE,,,,ENFIELD,NH,03441,,,,,,,,,,,,,UND,3
35,BELL,,MICHELE,LOGAN,3,,,REDWOOD DR,,,,BERLIN,NH,03570,,,,,,,,,,,,,UND,3
36,CARTER,,CONNOR,MADISON,44,,,SUNSET BLVD,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,4
37,BROWN,,CONNOR,LUCAS,45,,,CRESCENT ST,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,4
38,BAKER,,JONAH,GABRIEL,19,,,SIERRA RD,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,1
39,ALLEN,,LIAM,SCARLETT,39,,,OAK ST,,,,SALEM,NH,03079,,,,,,,,,,,,,UND,3
40,BROOKS,,JULIAN,MICHELE,17,,,CHERRY LANE,,,,LEBANON,NH,03766,,,,,,,,,,,,,UND,5
41,COOPER,,CHASE,AIDEN,34,,,SUNRISE BLVD,,,,HUDSON,NH,03051,,,,,,,,,,,,,UND,2
42,MARTIN,,ADAM,JEREMEY,24,,,SIERRA RD,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,1
43,COOPER,,HARRISON,PARVATI,42,,,SUNRISE BLVD,,,,HUDSON,NH,03051,,,,,,,,,,,,,UND,2
44,CARTER,,AVERY,HENRY,3,,,CENTER AVE,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,5
45,MILLER,,TONY,JORDAN,13,,,HIGH ST,,,,BERLIN,NH,03570,,,,,,,,,,,,,UND,5
46,HOWELL,,LAUREL,CHARLOTTE,22,,,VICTORY AVE,,,,EPPING,NH,03042,,,,,,,,,,,,,UND,3
47,RAMIREZ,,CIRIE,AMANDA,38,,,HILLCREST DRIVE,,,,LEBANON,NH,03766,,,,,,,,,,,,,UND,5
48,BAILEY,,JEREMEY,OLIVER,66,,,MAGNOLIA BLVD,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,5
49,ADAMS,,AURORA,CHARLOTTE,38,,,WILLOW ST,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,1
50,LOPEZ,,CHASE,GRACE,18,,,HERITAGE LN,,,,LACONIA,NH,03246,,,,,,,,,,,,,UND,2
51,HERNANDEZ,,WENDELL,KRISTIN,20,,,ELMWOOD AVE,,,,NASHUA,NH,03060,,,,,,,,,,,,,UND,5
52,RICE,,WENDELL,DOMENICK,24,,,ELM ST,,,,EPPING,NH,03042,,,,,,,,,,,,,UND,4
53,HARRIS,,CHASE,WENDELL,44,,,ELM ST,,,,EPPING,NH,03042,,,,,,,,,,,,,UND,4
54,WILSON,,JORDAN,LAUREL,48,,,RIDGE ROAD,,,,PORTSMOUTH,NH,03801,,,,,,,,,,,,,UND,1
55,NGUYEN,,MICHELE,CAROLINE,42,,,RIDGE ROAD,,,,PORTSMOUTH,NH,03801,,,,,,,,,,,,,UND,1
56,CARTER,,JACK,LAURA,23,,,MAPLE AVE,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,1
57,RIVERA,,ANDREW,ASHLEY,17,,,PINE ST,,,,HOOKSETT,NH,03106,,,,,,,,,,,,,UND,3
58,YOUNG,,ASHLEY,CHRISSY,25,,,WATERFRONT DR,,,,SALEM,NH,03079,,,,,,,,,,,,,UND,5
59,MORGAN,,AUBRY,JANE,7,,,REDWOOD DR,,,,BERLIN,NH,03570,,,,,,,,,,,,,UND,3
60,ADAMS,,AMELIA,HENRY,21,,,SUNRISE BLVD,,,,NASHUA,NH,03060,,,,,,,,,,,,,UND,2
61,ALLEN,,SOPHIA,DAVID,18,,,WILLOW ST,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,1
62,ROBINSON,,AURORA,HARPER,6,,,LAKESIDE DRIVE,,,,ENFIELD,NH,03441,,,,,,,,,,,,,UND,3
63,MARTIN,,AMANDA,LEAH,20,,,EVERGREEN TERRACE,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,4
64,LOPEZ,,OLIVER,MADISON,28,,,CRYSTAL WAY,,,,ENFIELD,NH,03441,,,,,,,,,,,,,UND,4
65,MARTIN,,ASHLEY,HARRISON,17,,,MAIN ST,,,,NASHUA,NH,03060,,,,,,,,,,,,,UND,2
66,COOPER,,LUCAS,CHASE,27,,,WILLOW ST,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,1
67,EDWARDS,,RILEY,ISABELLA,18,,,EVERGREEN TERRACE,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,4
68,TAYLOR,,ISABELLA,JAMES,18,,,BAYVIEW BLVD,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,3
69,LOPEZ,,JEREMEY,CHLOE,29,,,BIRCH ST,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,1
70,MURPHY,,SCARLETT,NOAH,32,,,HERITAGE LN,,,,LACONIA,NH,03246,,,,,,,,,,,,,UND,2
71,HILL,,HARRISON,HELENA,22,,,SIERRA RD,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,1
72,MILLER,,LIAM,MIA,22,,,SIERRA RD,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,1
73,WALKER,,CONNOR,WENDELL,23,,,VICTORY AVE,,,,LACONIA,NH,03246,,,,,,,,,,,,,UND,3
74,COLLINS,,ZACHARY,JANE,19,,,WATERFRONT DR,,,,SALEM,NH,03079,,,,,,,,,,,,,UND,5
75,BAKER,,NATALIE,SOPHIA,20,,,ELMWOOD AVE,,,,NASHUA,NH,03060,,,,,,,,,,,,,UND,5
76,HOWELL,,CHARLOTTE,ASHLEY,47,,,BIRCH ST,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,1
77,THOMAS,,HARRISON,JONAH,36,,,WALNUT ST,,,,HOOKSETT,NH,03106,,,,,,,,,,,,,UND,2
78,REED,,JACK,HARPER,11,,,FOREST DRIVE,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,1
79,PERRY,,MATTHEW,AIDEN,12,,,PINE ST,,,,HUDSON,NH,03051,,,,,,,,,,,,,UND,3
80,KING,,VICTORIA,ETHAN,27,,,FOREST DRIVE,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,1
81,HILL,,AMELIA,KRISTIN,34,,,MEADOW LANE,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,5
82,REED,,STELLA,EVELYN,35,,,BROADWAY,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,1
83,DAVIS,,SAMUEL,EMILY,19,,,MAIN ST,,,,NASHUA,NH,03060,,,,,,,,,,,,,UND,2
84,MITCHELL,,LUCY,ISAAC,37,,,MAPLE AVE,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,1
85,GARCIA,,CALEB,HARPER,7,,,HILLCREST DRIVE,,,,PORTSMOUTH,NH,03801,,,,,,,,,,,,,UND,5
86,SMITH,,GABRIEL,ELLA,6,,,LAKESIDE DRIVE,,,,ENFIELD,NH,03441,,,,,,,,,,,,,UND,3
87,BROWN,,LOGAN,TOMMY,36,,,CRYSTAL WAY,,,,ENFIELD,NH,03441,,,,,,,,,,,,,UND,4
88,EVANS,,MADISON,ADAM,27,,,WATERFRONT DR,,,,SALEM,NH,03079,,,,,,,,,,,,,UND,5
89,BENNETT,,AMANDA,NOAH,24,,,SIERRA RD,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,1
90,YOUNG,,AUBRY,SARAH,16,,,HERITAGE LN,,,,LACONIA,NH,03246,,,,,,,,,,,,,UND,2
91,WILSON,,PARVATI,OLIVIA,18,,,MAPLE AVE,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,1
92,WRIGHT,,ADAM,JAMES,44,,,RIDGE ROAD,,,,PORTSMOUTH,NH,03801,,,,,,,,,,,,,UND,1
93,MARTINEZ,,TAYLOR,LIAM,15,,,PINE ST,,,,HOOKSETT,NH,03106,,,,,,,,,,,,,UND,3
94,GARCIA,,AIDEN,BENJAMIN,14,,,VICTORY AVE,,,,EPPING,NH,03042,,,,,,,,,,,,,UND,3
95,EVANS,,ETHAN,CHRIS,56,,,CRESCENT ST,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,4
96,RIVERA,,MICHAEL,LAURA,26,,,BAYVIEW BLVD,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,3
97,RAMIREZ,,CALEB,LAUREL,47,,,SUNRISE BLVD,,,,NASHUA,NH,03060,,,,,,,,,,,,,UND,2
98,GREEN,,STELLA,AVERY,23,,,BROADWAY,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,1
99,PETERSON,,CAROLINE,CIRIE,15,,,PINE ST,,,,HOOKSETT,NH,03106,,,,,,,,,,,,,UND,3
100,RODRIGUEZ,,EVELYN,CHLOE,10,,,VICTORY AVE,,,,EPPING,NH,03042,,,,,,,,,,,,,UND,3
101,RAMIREZ,,OLIVIA,HARRISON,21,,,CHERRY LANE,,,,LEBANON,NH,03766,,,,,,,,,,,,,UND,5
102,HOWELL,,SCARLETT,GABRIEL,36,,,GARDEN PATH,,,,EPPING,NH,03042,,,,,,,,,,,,,UND,4
103,EDWARDS,,DENISE,JANE,51,,,OAK ST,,,,SALEM,NH,03079,,,,,,,,,,,,,UND,3
104,YOUNG,,JOHN,ELIJAH,30,,,GARDEN PATH,,,,EPPING,NH,03042,,,,,,,,,,,,,UND,4
105,CARTER,,JULIAN,ROBERT,41,,,CRESCENT ST,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,4
106,ALLEN,,EMILY,TONY,36,,,SUNRISE BLVD,,,,HUDSON,NH,03051,,,,,,,,,,,,,UND,2
107,WALKER,,VICTORIA,AVERY,34,,,SUNSET BLVD,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,4
108,MARTIN,,HELENA,OLIVER,10,,,HILLCREST DRIVE,,,,LEBANON,NH,03766,,,,,,,,,,,,,UND,5
109,BELL,,LAURA,JOHN,35,,,MAIN ST,,,,NASHUA,NH,03060,,,,,,,,,,,,,UND,2
110,BELL,,NATALIE,CALEB,36,,,WALNUT ST,,,,HOOKSETT,NH,03106,,,,,,,,,,,,,UND,2
111,SULLIVAN,,GABRIEL,TAYLOR,22,,,VICTORY AVE,,,,EPPING,NH,03042,,,,,,,,,,,,,UND,3
112,EDWARDS,,SOPHIE,JANE,12,,,GRANITE ST,,,,EPPING,NH,03042,,,,,,,,,,,,,UND,2
113,WILSON,,LIAM,LAURA,24,,,CRYSTAL WAY,,,,ENFIELD,NH,03441,,,,,,,,,,,,,UND,4
114,MILLER,,KRISTIN,DOMENICK,38,,,ELM ST,,,,EPPING,NH,03042,,,,,,,,,,,,,UND,4
115,HALL,,MATTHEW,HANNAH,24,,,PARK LANE,,,,ENFIELD,NH,03441,,,,,,,,,,,,,UND,3
116,HOWELL,,LOGAN,LOGAN,41,,,BAYVIEW BLVD,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,3
117,MARTIN,,WENDELL,AUBRY,20,,,PARK LANE,,,,ENFIELD,NH,03441,,,,,,,,,,,,,UND,3
118,WALKER,,MADISON,HELENA,29,,,MAIN ST,,,,NASHUA,NH,03060,,,,,,,,,,,,,UND,2
119,SMITH,,HANNAH,HANNAH,17,,,BIRCH ST,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,1
120,PEREZ,,KIM,ROBERT,15,,,SYCAMORE AVE,,,,LACONIA,NH,03246,,,,,,,,,,,,,UND,2
121,COOK,,ISAAC,TAYLOR,10,,,HERITAGE LN,,,,LACONIA,NH,03246,,,,,,,,,,,,,UND,2
