Voter ID,Last Name,Suffix,First Name,Middle Name,Street Number,Address Suffix,House Fraction Number,Street Name,Apartment / Unit Number,Address Line 2,Address Line 3,Postal City / Town,State,Postal Zip 5,Zip +4,Mailing Street Number,Mailing Suffix,Mailing House Fraction Number,Mailing Street Name,Mailing Apartment / Unit Number,Mailing Address Line 2,Mailing Address Line 3,Mailing City / Town,Mailing State,Mailing Zip 5,Mailing Zip +4,Party,District
1,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBCCCCCC,MD,ABIGAIL,MEGAN,21,,,MEADOW LANE,,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAB,,LACONIA,NH,03246,,,,,,,,,,,,,UND,00
2,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAB,PHD,LAUREL,MARK,15,NW,,VICTORY AVE,1A,WILLOW ST,,SALEM,NH,03079,,,,,,,,,,,,,REP,00
3,PERRY,,MADISON,JONAH,17,,1/3,MEADOW LANE,20U,PINECONE LN,,LACONIA,NH,03246,,,,,,,,,,,,,REP,00
4,LEE,PHD,JOHN,,10,B,,BAYSHORE BLVD,20U,PINE ST,,HOOKSETT,NH,03106,,71,UPPER,,BIRCH ST,,,,Hooksett,NH,03106,,UND,00
5,SULLIVAN,BA,AMELIA,,24,FRONT,1/2,WALNUT ST,,,,LEBANON,NH,03766,,,,,,,,,,,,,REP,00
6,SANTOS-D'SOUZA,,MADISON,TOMMY,32,,1/4,WALNUT ST,,FOREST DRIVE,,LEBANON,NH,03766,,,,,,,,,,,,,UND,00
7,SCOTT,II,JONAH,WENDELL,27,,,LAKESIDE DRIVE,,,,NASHUA,NH,03060,,,,,,,,,,,,,UND,00
8,PEREZ,DDS,JEREMEY,GRACE,14,,,MAIN ST,,,,DOVER,NH,03820,,,,,,,,,,,,,REP,00
9,JENKINS,AAAA,CONNOR,,27,SE,,MAPLE AVE,,RIDGE ROAD,,LACONIA,NH,03246,,64,,1/2,BAYSHORE BLVD,,,,Hudson,NH,03051,,UND,00
10,SULLIVAN,AAAA,MICHAEL,,42,NE,,REDWOOD DR,,REDWOOD DR,,DOVER,NH,03820,,,,,,,,,,,,,REP,00
11,CAMPBELL,DVM,ADAM,CONNOR,15,FRONT,1/2,BROADWAY,16Q,ELMWOOD AVE,,NASHUA,NH,03060,,,,,,,,,,,,,REP,00
12,JOHNSON,CPA,KRISTEN,,24,,1/3,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBCCCCCC,5E,ELM ST,,HUDSON,NH,03051,,,,,,,,,,,,,DEM,00
13,RUSSELL,JR.,RILEY,CHASE,16,,1/4,D'ANGELO WAY,10K,FOREST DRIVE,,LEBANON,NH,03766,,,,,,,,,,,,,UND,00
14,THOMPSON,,LOGAN,JOHN,15,D,,HERITAGE LN,18S,WILLOW ST,,BERLIN,NH,03570,,,,,,,,,,,,,DEM,00
15,HARRIS,II,CHASE,ABIGAIL,11,,,CHERRY LANE,19T,QUEEN-MARY AVE,,EPPING,NH,03042,,,,,,,,,,,,,REP,00
16,HARRIS,,ANDREW,,21,A,2/3,FOREST DRIVE,2B,PINECONE LN,,LACONIA,NH,03246,,,,,,,,,,,,,REP,00
17,BAILEY,PHD,LIAM,,19,NW,1/4,CRESCENT ST,,,,HOOKSETT,NH,03106,,,,,,,,,,,,,UND,00
18,RODRIGUEZ,,JONAH,,23,D,,CRESCENT ST,10K,BAYSHORE BLVD,,HOOKSETT,NH,03106,,,,,,,,,,,,,UND,00
19,MOORE,,LUCY,SCARLETT,30,,1/4,HILLCREST DRIVE,BBBBBBBBBBBBBBCC,RIDGE ROAD,,EPPING,NH,03042,,,,,,,,,,,,,UND,00
20,SANCHEZ,,HANNAH,AURORA,48,,1/4,WALNUT ST,20U,HIGH ST,,LEBANON,NH,03766,,,,,,,,,,,,,REP,00
21,BELL,BA,ISABELLA,,48,A,1/4,WILLOW ST,,HILLCREST DRIVE,,ENFIELD,NH,03441,,,,,,,,,,,,,DEM,00
22,HILL,,EMILY,,52,,,RIDGE ROAD,,,,ENFIELD,NH,03441,,12,,2/3,SMITH-JONES RD,11L,,,Salem,NH,03079,,DEM,00
23,WRIGHT,II,NOAH,,4,LOWER,,ELMWOOD AVE,8H,,,LEBANON,NH,03766,,,,,,,,,,,,,UND,00
24,HALL,MA,ISABELLA,,10,B,,BAYSHORE BLVD,,EVERGREEN TERRACE,,HOOKSETT,NH,03106,,,,,,,,,,,,,UND,00
25,COLLINS,IV,CONNOR,,11,,,OAK ST,,SMITH-JONES RD,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,00
26,JACKSON,MBA,HARPER,,21,,,MEADOW LANE,,,,LACONIA,NH,03246,,,,,,,,,,,,,UND,00
27,MOORE,II,CIRIE,,35,,,GARDEN PATH,13N,VICTORY AVE,,NASHUA,NH,03060,,,,,,,,,,,,,REP,00
28,HILL,SR.,LIAM,ANDREW,16,REAR,1/4,SUNRISE BLVD,,MAGNOLIA BLVD,,LEBANON,NH,03766,,,,,,,,,,,,,REP,00
29,ALLEN,AAAA,ADAM,STELLA,19,A,1/4,BROADWAY,17R,ST. JOHN’S PLACE,,NASHUA,NH,03060,,,,,,,,,,,,,REP,00
30,SCOTT,MSC,CONNOR,AMANDA,34,,1/4,LAKESIDE DRIVE,19T,CRESCENT ST,,HUDSON,NH,03051,,,,,,,,,,,,,UND,00
